length,prefix,ppl,tokens
1024,whitespace,7.573503839419106,1024
1024,punctuation,7.573503839419106,1024
1024,random_words,7.573503839419106,1024
1024,instruction,7.573503839419106,1024
1024,baseline,19.89330785763948,1024
1024,whitespace,19.89330785763948,1024
1024,punctuation,19.89330785763948,1024
1024,random_words,19.89330785763948,1024
1024,instruction,19.89330785763948,1024
1024,baseline,17.23689418493808,1024
1024,whitespace,17.23689418493808,1024
1024,punctuation,17.23689418493808,1024
1024,random_words,17.23689418493808,1024
1024,instruction,17.23689418493808,1024
1024,baseline,17.69787888881238,1024
1024,whitespace,17.69787888881238,1024
1024,punctuation,17.69787888881238,1024
1024,random_words,17.69787888881238,1024
1024,instruction,17.69787888881238,1024
1024,baseline,10.376722108261692,1024
1024,whitespace,10.376722108261692,1024
1024,punctuation,10.376722108261692,1024
1024,random_words,10.376722108261692,1024
1024,instruction,10.376722108261692,1024
1024,baseline,12.683501294161408,1024
1024,whitespace,12.683501294161408,1024
1024,punctuation,12.683501294161408,1024
1024,random_words,12.683501294161408,1024
1024,instruction,12.683501294161408,1024
1024,baseline,8.627527899049193,1024
1024,whitespace,8.627527899049193,1024
1024,punctuation,8.627527899049193,1024
1024,random_words,8.627527899049193,1024
1024,instruction,8.627527899049193,1024
1024,baseline,14.205311607592368,1024
1024,whitespace,14.205311607592368,1024
1024,punctuation,14.205311607592368,1024
1024,random_words,14.205311607592368,1024
1024,instruction,14.205311607592368,1024
1024,baseline,15.623667723162406,1024
1024,whitespace,15.623667723162406,1024
1024,punctuation,15.623667723162406,1024
1024,random_words,15.623667723162406,1024
1024,instruction,15.623667723162406,1024
1024,baseline,6.258056637764392,1024
1024,whitespace,6.258056637764392,1024
1024,punctuation,6.258056637764392,1024
1024,random_words,6.258056637764392,1024
1024,instruction,6.258056637764392,1024
1024,baseline,18.435080172964078,1024
1024,whitespace,18.435080172964078,1024
1024,punctuation,18.435080172964078,1024
1024,random_words,18.435080172964078,1024
1024,instruction,18.435080172964078,1024
1024,baseline,16.474768905822064,1024
1024,whitespace,16.474768905822064,1024
1024,punctuation,16.474768905822064,1024
1024,random_words,16.474768905822064,1024
1024,instruction,16.474768905822064,1024
1024,baseline,17.540005669036077,1024
1024,whitespace,17.540005669036077,1024
1024,punctuation,17.540005669036077,1024
1024,random_words,17.540005669036077,1024
1024,instruction,17.540005669036077,1024
1024,baseline,12.359509348856092,1024
1024,whitespace,12.359509348856092,1024
1024,punctuation,12.359509348856092,1024
1024,random_words,12.359509348856092,1024
1024,instruction,12.359509348856092,1024
1024,baseline,8.466853424934786,1024
1024,whitespace,8.466853424934786,1024
1024,punctuation,8.466853424934786,1024
1024,random_words,8.466853424934786,1024
